Date	Transaction	Amount	Name	Memo
4/23/2021	OTHER	1.78	Withdrawal to Tangerine Savings 	Transferred
4/23/2021	OTHER	15.21	Interac - Purchase - BEMOL   LEV	BEMOL   LEVAIN MONTREAL  QC  CA
4/23/2021	OTHER	22.43	Interac - Purchase - ULTRAMAR #3	ULTRAMAR #36152 MONTREAL  QC  CA
4/24/2021	OTHER	1.36	Withdrawal to Tangerine Savings 	Transferred
4/24/2021	OTHER	138.78	Interac - Purchase - ALIMENTATIO	ALIMENTATION P.BOISCLA SAINT-LEON  QC  CA
4/24/2021	OTHER	28.4	Interac - Purchase - SAQ23344 LE	SAQ23344 LE BOU MONTREAL  QC  CA
4/24/2021	OTHER	34.48	Interac - Purchase - COUCHE-TARD	COUCHE-TARD # 1 MONTREAL  QC  CA
4/25/2021	OTHER	1.34	Withdrawal to Tangerine Savings 	Transferred
4/25/2021	OTHER	20.9	Interac - Purchase - HARVEY'S #0	HARVEY'S #00024 ST.LEONARD  QC  CA
4/26/2021	OTHER	0.1	Withdrawal to Tangerine Savings 	Transferred
4/26/2021	OTHER	13.75	Interac - Purchase - ADDISON ELE	ADDISON ELECTRO MONTREAL  QC  CA
4/26/2021	OTHER	14.21	Interac - Purchase - BROCCA MONT	BROCCA MONTREAL  QC  CA
4/27/2021	OTHER	1.04	Withdrawal to Tangerine Savings 	Transferred
4/27/2021	OTHER	39.51	Interac - Purchase - DEPANNEUR L	DEPANNEUR LE PI MONTREAL  QC  CA
4/28/2021	OTHER	0.74	Withdrawal to Tangerine Savings 	Transferred
4/28/2021	OTHER	15.6	Interac - Purchase - DEPANNEUR V	DEPANNEUR VALLE MONTREAL  QC  CA
4/28/2021	OTHER	15.21	Interac - Purchase - BEMOL   LEV	BEMOL   LEVAIN MONTREAL  QC  CA
4/29/2021	OTHER	1.19	Withdrawal to Tangerine Savings 	Transferred
4/29/2021	OTHER	14.63	Interac - Purchase - SAINT-HENRI	SAINT-HENRI MIC MONTREAL  QC  CA
4/29/2021	OTHER	27.76	Interac - Purchase - BEMOL   LEV	BEMOL   LEVAIN MONTREAL  QC  CA
4/29/2021	OTHER	"6,498.45"	EFT Deposit from JMC AUDIO	From JMC AUDIO
4/30/2021	OTHER	324.92	Withdrawal to Tangerine Savings 	Transferred
4/30/2021	OTHER	1.53	Withdrawal to Tangerine Savings 	Transferred
4/30/2021	OTHER	0.01	Interest Paid	
5/1/2021	OTHER	600	INTERAC e-Transfer To: Marie Cla	Transferred
5/2/2021	OTHER	"1,000.00"	Visa Debit - Purchase - PAY TO: 	PAY TO: CRA     PAYER A OTTAWA  CA
5/2/2021	OTHER	0	Posted :30 Apr 2021	PAY TO: CRA     PAYER A OTTAWA  CA
5/2/2021	OTHER	0	Posted :30 Apr 2021	PAY TO: CRA     PAYER A OTTAWA  CA
5/2/2021	OTHER	636	Visa Debit - Purchase - PAY TO: 	PAY TO: CRA     PAYER A OTTAWA  CA
5/2/2021	OTHER	0	Posted :30 Apr 2021	PAY TO: CRA     PAYER A OTTAWA  CA
5/2/2021	OTHER	0	Posted :30 Apr 2021	PAY TO: CRA     PAYER A OTTAWA  CA
5/2/2021	OTHER	0.59	Withdrawal to Tangerine Savings 	Transferred
5/2/2021	OTHER	52.75	Interac - Purchase - METRO # 042	METRO # 0421 MONTREAL  QC  CA
5/3/2021	OTHER	0.25	Withdrawal to Tangerine Savings 	Transferred
